,id,lat,lng,households,buildDate,score,m2,p,min_sales,max_sales,avg_sales,구,distance_park,distance_subway,distance_mart,cctv,crime,distance_hospital,distance_library,distance_school
876,58296,37.56929243,127.0709981,80,201807,0.0,63,19,33300.0,35600.0,35000.0,동대문구,0.26573933462850585,1.0409741275913718,2.3656434711981262,2497,3401,2.4770555687422102,0.2893462672029861,0.3807325680896673
877,58317,37.56946413,127.0686191,60,201608,0.0,65,20,31000.0,34900.0,33500.0,동대문구,0.20524437649462549,0.9615588937734766,2.1799627123658536,2497,3401,2.31326383202931,0.28747950271624084,0.4632593568663143
878,1244,37.53309006,127.0668247,204,199311,4.2,98,30,50600.0,50600.0,50500.0,광진구,0.5105004055936783,0.716848602417115,0.8190495341023375,2588,3601,0.9672580120662311,0.12288919132407305,0.3274940328261893
879,4055,37.5352504,127.0570059,141,200008,5.0,79,24,31800.0,45500.0,40500.0,성동구,0.48652046526653814,1.0397830735812255,3.375259838131634,3602,2362,3.500522355119778,0.44033748656140925,0.5842241561330741
880,12328,37.53363698,127.0618471,116,200605,3.8,106,32,57500.0,76700.0,68000.0,광진구,0.06956322134772208,1.011569311722362,1.1364646321967355,2588,3601,1.2063204555811198,0.3924763276472145,0.726813379110216
881,15778,37.53298844,127.0680601,260,200704,4.8,104,31,68500.0,79500.0,72000.0,광진구,0.5622427638544945,0.6526372448356155,0.7569749080088958,2588,3601,0.9278938581203897,0.20122347109634056,0.24938165396281273
882,5235,37.53297664,127.0697663,252,200105,3.7,78,24,55900.0,112400.0,70000.0,광진구,0.41649529909377536,0.5683254978968342,0.6781125804392346,2588,3601,0.8791448369330249,0.2926891059464821,0.18428212913904146
883,11506,37.56960069,127.0692888,36,200204,4.7,105,32,27000.0,40500.0,36000.0,동대문구,0.2510253345135782,0.9986716563866248,2.2203980543749364,2497,3401,2.3441799141886768,0.29251930117559605,0.47080953931683334
884,10635,37.53742618,127.0830673,102,200608,4.0,103,31,53500.0,85700.0,59000.0,광진구,0.0810732000223799,0.6845237338603668,0.8735899682189763,2588,3601,0.4207990518584521,0.14171360080417814,0.29742630174740414
885,1108,37.56177597,127.0485781,270,198909,4.1,90,27,41700.0,41700.0,41500.0,성동구,0.2015900030536096,0.5308844363545215,1.01075491700579,3602,2362,1.1925856910985677,0.1614606237325401,0.13604832197109806
886,5525,37.5332696,127.0739844,405,198907,4.2,69,21,34800.0,45600.0,41000.0,광진구,0.15819431810483797,0.27489919014135905,0.5762387281436734,2588,3601,0.8304071218897449,0.1142305740974469,0.25473917112837163
887,3968,37.53284576,127.0716578,178,199902,4.5,85,26,48200.0,87100.0,61500.0,광진구,0.255378850816105,0.4402040295313849,0.6350930872926963,2588,3601,0.8663840869990858,0.1555494361289597,0.24614087836482137
888,3936,37.5693418,127.061709,741,200111,3.9,89,27,38600.0,51700.0,44000.0,동대문구,0.47980345643869643,0.9160442018399246,1.7237761356864627,2497,3401,1.9495480855651777,0.07943690658720551,0.3156875271896461
889,307,37.54437695,127.0459506,390,198309,4.0,57,17,30400.0,47100.0,39000.0,성동구,0.16271262756204255,0.3359254138936557,2.0252511476325545,3602,2362,2.1308699609160047,0.14632909876026362,0.36867724268195556
890,1242,37.53257531,127.0657201,355,199312,4.3,103,31,52300.0,52300.0,52500.0,광진구,0.42468584089176864,0.82687238257449,0.9282217237835355,2588,3601,1.0670252129868627,0.17611770811557814,0.44045684093144166
891,11978,37.56647688,127.0538513,44,199406,5.0,149,45,30000.0,44000.0,37000.0,성동구,0.6471266959454215,0.7088944078013673,1.5861492847393195,3602,2362,1.7474844674278134,0.2257810899624774,0.639061455605987
892,25670,37.56993484,127.071701,44,201312,4.3,65,20,24000.0,37000.0,36500.0,동대문구,0.17301571604071342,1.1346653098739763,2.381993517564072,2497,3401,2.4761539235279217,0.19677238081677795,0.4420410221801143
893,2905,37.5352693,127.054987,293,199404,3.9,73,22,21200.0,45900.0,40500.0,성동구,0.5092375976962386,1.0510303291423937,3.284557739449945,3602,2362,3.403550019490996,0.2711621318915525,0.6355226701934931
894,2965,37.56931015,127.0601877,739,200008,3.4,79,24,36500.0,50400.0,43500.0,동대문구,0.502179926392674,0.9586957986162254,1.6371707679838179,2497,3401,1.8870124351680726,0.10168909850594614,0.41747856013573037
895,4525,37.54103013,127.0881043,126,200010,3.6,79,24,47700.0,56500.0,55000.0,광진구,0.22918894425238573,0.38466994928534565,0.9531975022921789,2588,3601,0.39227713665113684,0.14964418598783363,0.5722176787603166
896,18437,37.53218419,127.0690324,279,200909,4.5,112,34,72700.0,139000.0,88500.0,광진구,0.46383271138093757,0.6694053183695503,0.7861599562049092,2588,3601,0.9817021876904921,0.32430712409040346,0.28426522441673147
897,58318,37.57039713,127.0693478,33,201501,0.0,66,20,36900.0,39400.0,38500.0,동대문구,0.30364517634416843,1.0818944746763421,2.1773198632787105,2497,3401,2.286856247158633,0.21956260350688092,0.4841426015808251
898,7141,37.56693453,127.0539739,146,200109,4.5,116,35,38300.0,38300.0,38500.0,동대문구,0.5250436819944604,1.1185049644083358,1.6004602167394568,2497,3401,1.9646992539844006,0.3395274512668672,0.24419114302841638
899,3736,37.54279468,127.0462258,173,198204,3.6,58,18,22000.0,35300.0,31500.0,성동구,0.2926827786578597,0.49783947604224016,2.1974971512370916,3602,2362,2.2995810523241333,0.2997370099468806,0.20871772157476418
900,504,37.5322286,127.071571,375,199904,4.3,90,27,51600.0,88300.0,59000.0,광진구,0.24201221015649246,0.493704354986324,0.7037656399460159,2588,3601,0.9353731206340419,0.213914371000206,0.30041197377947504
901,68946,37.57054304,127.0693903,33,201501,0.0,66,20,30600.0,32600.0,32000.0,동대문구,0.2949556558188405,1.0983067140417406,2.172122393057865,2497,3401,2.278634132188592,0.20496343612043905,0.48393666705907307
902,10493,37.53189289,127.067946,204,200607,4.8,105,32,76000.0,107000.0,97500.0,광진구,0.5582880930806743,0.7577890435933041,0.8626923555564925,2588,3601,1.0441394459683548,0.28698379805894136,0.353376381200399
