도로명주소,업태구분명,lat,lng,구
서울특별시 강동구 양재대로 1571 ,대형마트,37.5458605,127.142537,강동구
서울특별시  새문안로 91 1층 ,대형마트,37.570549479860425,126.97479217804687,
서울특별시 강북구 도봉로 172 ,대형마트,37.638794,127.0265071,강북구
서울특별시 관악구 과천대로 909 ,대형마트,37.4763265,126.9815299,관악구
서울특별시 영등포구  당산로  42 ,대형마트,37.5160417,126.8943428,영등포구
서울특별시 관악구 은천로 51 ,대형마트,37.4858148,126.9426838,관악구
서울특별시 마포구 월드컵로 240 ,대형마트,37.5663972,126.8965001,마포구
서울특별시 강동구 고덕로24길 50 ,대형마트,37.5534081,127.1355607,강동구
서울특별시 송파구 올림픽로35가길 16 ,대형마트,37.5167037,127.1032995,송파구
서울특별시 노원구 동일로204가길 12 ,대형마트,37.6398415,127.06860161998614,노원구
서울특별시 중랑구 신내로 201 ,대형마트,37.61598855,127.09360049706524,중랑구
