시군구명,시설명,상세주소,경도,위도
강북구,운산어린이공원,서울특별시 강북구 미아동   165-3,127.023374,37.632055
동작구,동양중학교,서울특별시 동작구 흑석동   198-79,126.9562,37.5101
양천구,신서고등학교,서울특별시 양천구  은행정로 42  (신정동),126.859937,37.523831
강서구,능골공원,서울특별시 강서구 화곡동   468-1,126.855311,37.536692
동작구,서울은로초등학교,서울특별시 동작구  서달로 115  (흑석동),126.965121,37.508605
강남구,삼성은행나무근린공원,서울특별시 강남구 삼성동   14-0,127.045775,37.516507
강동구,강동롯데캐슬경로당,서울특별시 강동구  고덕로 131  (암사동 강동 롯데캐슬퍼스트아파트),127.141573,37.556659
동작구,서울본동초등학교,서울특별시 동작구 본동   50-8,126.953574,37.510046
성동구,행당초등학교 운동장,서울특별시 성동구 행당동   320-60,127.034678,37.556538
양천구,금옥중학교 운동장,서울특별시 양천구 신정동   729-0,126.844261,37.510622
노원구,청계초등학교 운동장,서울특별시 노원구 중계동   513-1,127.066054,37.645104
강동구,성덕고등학교(운동장),서울특별시 강동구 천호동   23-3,127.142047,37.550531
은평구,서울신진자동차고등학교 ,서울특별시 은평구 응암동   114-1,126.918229,37.598476
마포구,염리초등학교,서울특별시 마포구 염리동   173-4,126.945809,37.54227
동대문구,장평초등학교,서울특별시 동대문구  답십리로69길 27  (장안동),127.073263,37.573809
중랑구,혜원여자고등학교운동장,서울특별시 중랑구 망우동   519-0,127.09656,37.593495
양천구,양천어르신종합복지관,서울특별시 양천구  목동로3길 106  (신정동),126.85841,37.512156
강동구,암사3동 주민센터,서울특별시 강동구  고덕로 137  (암사동),127.14082,37.554972
동작구,대방공원(노량진근린공원),서울특별시 동작구 대방동   23-176,128.928602,37.510209
도봉구,서울오봉초등학교,서울특별시 도봉구  시루봉로 285  (도봉동),127.040842,37.672739
노원구,노원초등학교 운동장,서울특별시 노원구 상계동   1014-0,127.058237,37.67326
강동구,강동초등학교 운동장,서울특별시 강동구 천호동   306,127.12997,37.54592
성동구,성수중학교 운동장,서울특별시 성동구 성수동1가   685-143,127.038701,37.548219
중랑구,면북초등학교,서울특별시 중랑구 망우동   119-0,127.103491,37.594375
송파구,문현중학교 운동장,서울특별시 송파구 장지동   838-3,127.127814,37.480402
강남구,삼성목련공원,서울특별시 강남구 삼성동   55-1,127.054043,37.518573
은평구,포수동어린이공원,서울특별시 은평구 응암동   115-25,126.919459,37.598181
마포구,용강초등학교 운동장 ,서울특별시 마포구 대흥동   35-1,126.944122,37.549086
동작구,중앙대학교 체육관,서울특별시 동작구  흑석로 84  (흑석동),126.955559,37.504522
서초구,반원초등학교,서울특별시 서초구 잠원동   72,127.004053,37.510046
강서구,무지개공원,서울특별시 강서구 화곡동   806-10,126.861299,37.533931
성동구,행당어린이 공원,서울특별시 성동구 행당동   128-1,127.036303,37.557369
동대문구,청량중학교,서울특별시 동대문구  왕산로 301  (청량리동),127.050854,37.588197
