,id,lat,lng,households,buildDate,score,m2,p,min_sales,max_sales,avg_sales,구,distance_park,distance_subway,distance_mart,distance_hospital,distance_library,distance_school,distance_eq_shelter,distance_fire_station,crime,cctv
2852,9892,37.47851731,126.9013282,46,200212,5.0,83,25,36000.0,57120.0,48000.0,금천구,108.97093547491585,1739.7152332458088,1016.4454471979199,2541.0018087024223,407.3014706924318,433.8300673929602,408.9721569205777,1640.8699976262842,2598,2374
2853,18314,37.45349033,126.9097245,112,200801,4.0,75,23,54400.0,71520.0,66400.0,금천구,146.00498016733096,4017.2157824258043,810.8205002396312,844.7306482442898,83.54729876956507,314.44774283193453,286.51198550182585,1570.5300040009727,2598,2374
2854,1460,37.45402446,126.9106868,197,199606,3.3,74,22,35680.0,47040.0,44800.0,금천구,90.94604202932456,4022.642256927778,907.195760863149,912.6450619143006,187.10568927448486,211.99367177194068,184.52194832498193,1586.2125021624374,2598,2374
2855,9944,37.47680609,126.9066214,36,200009,2.0,76,23,42560.0,42880.0,43200.0,금천구,91.66214302838826,2239.9382067965885,1193.6307068986362,2409.9699766456456,355.00655252309684,240.73233876932346,172.1962718509678,1618.3298653156462,2598,2374
2856,800,37.47214641,126.9117641,373,199802,4.0,84,25,37760.0,71200.0,48800.0,관악구,124.76017446021596,2074.6636100370333,3123.165706555814,2289.692825723942,559.4872176907459,525.1921156056214,360.8358231963546,3587.6545017052144,5261,4942
2857,23102,37.4773108,126.906893,42,200405,0.0,65,20,39840.0,42560.0,41600.0,금천구,36.295640163612106,2248.6393279897075,1246.0777600129657,2470.036266933899,406.0509483942342,243.42713131138171,202.29462264562977,1679.0931376224103,2598,2374
2858,19917,37.4464015,126.901168,1764,201408,4.1,82,25,73120.0,115200.0,83200.0,금천구,105.28978090927261,4324.47882987836,619.9307078874327,1032.4246774533526,294.5695525088895,231.15938796674763,161.44436474722846,1980.5668867011752,2598,2374
2859,23827,37.44607096,126.9023879,82,201211,4.7,90,27,60160.0,69120.0,64000.0,금천구,173.3806399059203,4400.902086710905,671.4530613214645,1079.9192848204573,303.36096936339726,254.58885041134062,241.45205325368838,2035.2892150247746,2598,2374
2860,18440,37.48237829,126.8983292,58,200804,0.0,104,31,86400.0,89920.0,88800.0,구로구,896.9450317385817,416.03852228613175,229.84251036791596,1624.396074181113,144.0767771512759,743.984290954439,715.5707988513444,3389.7808219037415,4175,4075
2861,11993,37.45144124,126.9118607,114,200309,4.3,91,28,57760.0,63040.0,60800.0,금천구,395.6060258885298,4312.735165731523,983.232958524516,1103.1010877673557,192.18634962637924,331.84747576434677,291.25607482970577,1866.1070995829475,2598,2374
2862,5227,37.45347518,126.9135627,140,198404,0.0,67,20,13120.0,13120.0,13120.0,금천구,328.47770098168405,4232.051975919683,1144.0917081808266,1173.6336306569087,131.79749975150185,160.39735764614372,154.74392713001433,1815.1050714459152,2598,2374
2863,9925,37.45100851,126.9115357,97,200404,4.5,75,23,55200.0,87200.0,76000.0,금천구,410.5915012465892,4333.858948109884,958.746000380055,1099.101322982173,242.5460327821326,377.53171872436997,298.8825238614424,1883.9355200493917,2598,2374
2864,14147,37.48270762,126.8999297,65,200010,5.0,82,25,43040.0,70240.0,56800.0,구로구,995.22137224277,303.73011409044676,260.38057679725404,1706.0657457367033,286.1639453973135,794.0697286078281,769.785677609948,3494.581398951591,4175,4075
2865,52,37.44936804,126.9107059,619,198910,2.7,57,17,27040.0,68000.0,36800.0,금천구,230.4905233382408,4439.506207438742,925.8089550647181,1137.5320900803931,345.9873214379106,534.2404901572313,334.35855220969813,1984.6649634210964,2598,2374
2866,47,37.4763131,126.9123199,492,198410,3.5,56,17,25440.0,48640.0,32800.0,관악구,194.56208082797673,1767.1624487206525,2880.079623076035,2006.036211404628,285.8310650408493,225.46819144577785,105.16381822748725,3542.76060858585,5261,4942
2867,8460,37.47480057,126.9139089,114,200212,4.0,83,25,54400.0,72000.0,68800.0,관악구,48.19046668892271,1742.4697519790063,2819.040232025254,1966.600539582531,211.20418980377823,415.69580632348897,167.9298564122084,3394.0942382544727,5261,4942
2868,420,37.48250871,126.9034349,280,198210,3.6,77,23,42560.0,49440.0,45600.0,관악구,72.90088541385734,2325.149975854785,3482.6064071544874,2589.423061631317,384.78968721345456,573.190451205331,73.1138382443028,4420.664238255556,5261,4942
2869,15965,37.44793359,126.9106579,206,200611,3.9,80,24,47200.0,64320.0,63200.0,금천구,183.56117353373287,4569.465491960849,983.5198862121448,1239.167999819448,396.73376826866183,504.3684341586462,388.4502794741203,2115.294793403228,2598,2374
2870,11722,37.47912287,126.9104851,1456,200506,4.2,79,24,81440.0,120000.0,95200.0,금천구,339.5386439696169,2521.5109735543638,1620.8206772311948,2750.672515227013,781.2550585441231,352.0793536486214,148.50331504630364,2015.247312219071,2598,2374
2871,51830,37.44684801,126.9096556,48,200505,0.0,100,30,32800.0,66880.0,36800.0,금천구,172.0843198890653,4623.765892048492,971.1239025201618,1268.0581785830955,535.8266016189318,398.28804444277176,389.8313700161832,2174.5975118184856,2598,2374
2872,5297,37.47708859,126.9131737,171,199603,4.0,77,23,35840.0,63200.0,49600.0,관악구,215.6149392326056,1659.3472697693915,2778.845063413061,1900.751903500486,233.14519338041532,155.29477343107692,66.95646818211677,3475.229516301182,5261,4942
2873,6010,37.44934146,126.9137437,671,200212,4.2,84,25,44320.0,71520.0,59200.0,금천구,473.43757437363894,4599.191109740687,1184.265783050771,1360.3080234052516,83.0555584693085,294.4752846349779,74.26462778645121,2151.3539415290234,2598,2374
2874,11995,37.44427605,126.9067387,222,198811,5.0,66,20,20800.0,32000.0,23200.0,금천구,140.00904089687134,4746.672511185919,1005.7290707817863,1379.7993234398457,619.8696753922924,307.92697659982974,294.69784988151105,2330.8998308048112,2598,2374
2875,80638,37.4435434,126.90718,57,198606,0.0,62,19,18400.0,40000.0,21600.0,금천구,120.55668888014996,4836.941251879826,1095.5476028323128,1470.0361887809659,569.1269371438898,246.93479703936973,384.991013941113,2420.7391063733066,2598,2374
2876,58145,37.44299099,126.9073908,84,198411,0.0,70,21,19200.0,26400.0,24800.0,금천구,136.0280220652019,4900.108031184584,1157.82564990484,1533.8144898204894,530.8887684176697,182.80879469227418,448.4254804896815,2484.8358967246277,2598,2374
2877,4324,37.44168683,126.904857,35,199604,0.0,66,20,15360.0,23840.0,20000.0,금천구,124.61902719831319,4934.907446560695,1199.37553427253,1600.8918139979305,288.62968339975816,286.461385072079,552.6193498473592,2558.7981970403894,2598,2374
