id,lat,lng,households,buildDate,score,m2,p,min_sales,max_sales,avg_sales
2763,37.67195965,127.0812493,240,200606,3.8,85,26,31040,39040,34400
26666,37.6744955,127.0515579,37,199901,0,91,28,28000,76000,43200
2806,37.66740214,127.0675208,385,199506,4.1,84,25,35200,52800,48800
2804,37.67289123,127.0527628,331,199304,4.1,102,31,45920,45920,45600
6054,37.6748187,127.050927,230,200207,4.1,81,25,40480,89920,51200
4366,37.66728607,127.0688173,230,199505,4,102,31,55200,56320,55200
9948,37.687633,127.0486601,200,200212,4.7,106,32,52480,54240,53600
2840,37.66737208,127.0632409,939,198904,3.8,58,18,21760,33920,28000
2762,37.67443471,127.0504651,105,199602,3.4,74,22,32000,59040,40000
1437,37.67163697,127.052966,494,199904,3.7,102,31,53280,54720,54400
1284,37.6866928,127.047548,2678,199509,3.9,95,29,42720,50720,49600
7543,37.68472527,127.0471209,141,200410,3.7,100,30,48000,54080,53600
58188,37.6686747,127.0781537,87,200311,0,74,22,43520,51840,48000
6012,37.68151787,127.0469012,526,200303,4.3,113,34,52800,83360,64000
6702,37.67224298,127.0517196,142,199610,4.3,79,24,42240,47360,44800
5536,37.66629212,127.0675379,348,199005,4.1,83,25,38880,41760,40800
1445,37.67310837,127.0507045,106,199507,5,102,31,38400,38400,38400
2892,37.66608244,127.0686666,420,198703,4.3,63,19,27200,59520,36000
9155,37.67962237,127.0465237,448,200502,3.8,79,24,52800,65120,59200
3734,37.67626306,127.0476642,190,199812,3.4,81,25,30240,71200,44800
12106,37.6713926,127.0513971,117,200207,4.3,105,32,45440,45440,45600
2805,37.67227599,127.0504093,465,199312,3.7,85,26,47840,48960,48000
12370,37.66776924,127.0798574,42,200201,3.5,92,28,40000,56000,40800
20215,37.6745512,127.0476767,80,201012,4.5,108,33,45440,55840,48000
2811,37.6661668,127.0593183,1739,198810,3.9,58,18,24320,54720,33600
5535,37.66477818,127.0680443,471,198805,3.6,64,19,24640,39360,32000
2946,37.67343742,127.0480841,2450,199610,3.7,56,17,24160,29760,28000
2841,37.66915781,127.0525568,2392,198809,3.9,63,19,25440,59840,34400
2803,37.66695847,127.0796888,673,199911,3.7,83,25,40640,80960,54400
1388,37.6678293,127.0816166,826,199912,3.5,81,25,35840,85440,53600
38231,37.66514587,127.0747833,810,202001,0,64,19,57600,134400,73600
5534,37.6643673,127.064908,3315,198806,4,45,14,24640,54560,40800
10455,37.66590978,127.0796152,234,200106,4.6,106,32,57600,57600,57600
50365,37.6639767,127.062301,1062,202011,0,67,20,72000,152000,106400
2810,37.66582974,127.0558226,1944,198809,3.9,58,18,24320,56480,37600
80468,37.664792,127.077739,1163,202306,0,0,0,NaN,NaN,NaN
2765,37.66341186,127.0747163,675,198908,3.8,81,25,40320,55200,46400
2875,37.663338,127.060499,2830,198810,3.8,58,18,24160,52960,35200
